,ФИО коллеги,Оцениваемая задача,Достижение запланированных результатов (0-10),Комментарий о личных качествах,Качество взаимодействия (0-10),Рекомендации по улучшению,Балл за результаты
Сотрудник 200,Козлов С.С.,Разработка документации,9,"Аналитическое мышление, внимательность к рискам",9,Улучшить документацию процессов,3
Сотрудник 201,Смирнов П.С.,Улучшение безопасности,8,"Техническая экспертиза, креативность, самостоятельность",7,Улучшить документацию процессов,3
Сотрудник 202,Петров С.С.,Миграция системы,8,"Техническая экспертиза, креативность, самостоятельность",7,Усилить коммуникацию с другими отделами,3
Сотрудник 203,Васильев С.М.,Улучшение безопасности,9,"Аналитическое мышление, внимательность к рискам",7,Улучшить документацию процессов,3
Сотрудник 204,Козлов С.М.,Внедрение новых технологий,8,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 205,Петров С.П.,Миграция системы,6,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,3
Сотрудник 206,Михайлов М.П.,Миграция системы,5,"Системное мышление, внимание к деталям, ответственность",10,Усилить коммуникацию с командой,3
Сотрудник 207,Козлов С.П.,Улучшение безопасности,10,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с командой,3
Сотрудник 208,Иванов К.В.,Миграция системы,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки менторства,3
Сотрудник 209,Волков И.В.,Оптимизация производительности,6,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки презентации результатов,3
Сотрудник 210,Козлов В.В.,Оптимизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки презентации результатов,3
Сотрудник 211,Козлов П.К.,Оптимизация производительности,6,"Техническая экспертиза, креативность, самостоятельность",8,Развивать навыки презентации результатов,3
Сотрудник 212,Петров К.В.,Разработка нового функционала,9,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,3
Сотрудник 213,Волков С.С.,Автоматизация процессов,7,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки презентации результатов,3
Сотрудник 214,Петров С.К.,Разработка документации,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,3
Сотрудник 215,Михайлов И.П.,Миграция системы,9,"Организованность, внимательность, стрессоустойчивость",7,Улучшить документацию процессов,3
Сотрудник 216,Сидоров С.В.,Улучшение безопасности,9,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с другими отделами,3
Сотрудник 217,Волков И.В.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",7,Развивать навыки менторства,3
Сотрудник 218,Михайлов В.В.,Миграция системы,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки презентации результатов,3
Сотрудник 219,Михайлов С.С.,Внедрение новых технологий,6,"Техническая экспертиза, креативность, самостоятельность",7,Развивать навыки презентации результатов,3
Сотрудник 220,Михайлов В.И.,Внедрение новых технологий,8,"Техническая экспертиза, креативность, самостоятельность",9,Улучшить документацию процессов,3
Сотрудник 221,Михайлов М.В.,Оптимизация производительности,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с другими отделами,3
Сотрудник 222,Иванов С.М.,Внедрение новых технологий,7,"Системное мышление, внимание к деталям, ответственность",9,Улучшить документацию процессов,3
Сотрудник 223,Васильев П.В.,Улучшение безопасности,9,"Системное мышление, внимание к деталям, ответственность",5,Улучшить документацию процессов,3
Сотрудник 224,Васильев С.В.,Разработка документации,9,"Техническая экспертиза, креативность, самостоятельность",9,Улучшить документацию процессов,3
Сотрудник 225,Михайлов М.И.,Разработка нового функционала,9,"Техническая экспертиза, креативность, самостоятельность",7,Усилить коммуникацию с командой,3
Сотрудник 226,Козлов И.С.,Разработка документации,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки презентации результатов,3
Сотрудник 227,Петров С.М.,Улучшение безопасности,7,"Техническая экспертиза, креативность, самостоятельность",6,Улучшить документацию процессов,3
Сотрудник 228,Михайлов М.В.,Разработка документации,10,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки менторства,3
Сотрудник 229,Сидоров М.М.,Разработка документации,5,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки презентации результатов,3
Сотрудник 230,Васильев С.С.,Оптимизация процессов,10,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки менторства,3
Сотрудник 231,Михайлов В.В.,Оптимизация производительности,10,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 232,Михайлов С.П.,Миграция системы,7,"Аналитическое мышление, внимательность к рискам",8,Развивать навыки презентации результатов,3
Сотрудник 233,Васильев С.С.,Автоматизация процессов,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 234,Смирнов К.М.,Оптимизация процессов,7,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с командой,3
Сотрудник 235,Петров К.В.,Разработка документации,7,"Техническая экспертиза, креативность, самостоятельность",7,Улучшить документацию процессов,3
Сотрудник 236,Петров С.И.,Внедрение новых технологий,10,"Техническая экспертиза, креативность, самостоятельность",7,Развивать навыки презентации результатов,3
Сотрудник 237,Васильев П.М.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки менторства,3
Сотрудник 238,Сидоров К.С.,Улучшение безопасности,8,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 239,Петров С.П.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,2
Сотрудник 240,Васильев П.С.,Оптимизация процессов,7,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,3
Сотрудник 241,Васильев М.И.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки менторства,2
Сотрудник 242,Михайлов И.В.,Миграция системы,9,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с командой,3
Сотрудник 243,Смирнов С.П.,Разработка нового функционала,8,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,3
Сотрудник 244,Васильев П.И.,Оптимизация производительности,10,"Организованность, внимательность, стрессоустойчивость",9,Улучшить документацию процессов,3
Сотрудник 245,Смирнов В.С.,Разработка документации,10,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки менторства,3
Сотрудник 246,Михайлов В.М.,Улучшение безопасности,9,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки презентации результатов,3
Сотрудник 247,Смирнов С.В.,Разработка документации,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Улучшить документацию процессов,3
Сотрудник 248,Михайлов К.В.,Оптимизация производительности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки менторства,3
Сотрудник 249,Козлов К.П.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с другими отделами,2
Сотрудник 250,Петров С.В.,Улучшение безопасности,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки менторства,3
Сотрудник 251,Волков В.П.,Миграция системы,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Усилить коммуникацию с командой,3
Сотрудник 252,Сидоров С.В.,Оптимизация производительности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Улучшить документацию процессов,2
Сотрудник 253,Иванов В.С.,Внедрение новых технологий,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Улучшить документацию процессов,2
Сотрудник 254,Васильев С.В.,Оптимизация производительности,7,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с командой,3
Сотрудник 255,Волков П.В.,Автоматизация процессов,9,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 256,Васильев В.С.,Внедрение новых технологий,6,"Техническая экспертиза, креативность, самостоятельность",8,Улучшить документацию процессов,3
Сотрудник 257,Иванов С.К.,Внедрение новых технологий,9,"Организованность, внимательность, стрессоустойчивость",8,Улучшить документацию процессов,3
Сотрудник 258,Смирнов С.С.,Оптимизация производительности,6,"Организованность, внимательность, стрессоустойчивость",8,Усилить коммуникацию с другими отделами,3
Сотрудник 259,Петров М.К.,Внедрение новых технологий,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Улучшить документацию процессов,3
Сотрудник 260,Сидоров С.П.,Разработка нового функционала,5,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки менторства,3
Сотрудник 261,Волков М.В.,Оптимизация процессов,9,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки менторства,3
Сотрудник 262,Иванов И.П.,Улучшение безопасности,8,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки менторства,3
Сотрудник 263,Сидоров С.В.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",7,Развивать навыки презентации результатов,3
Сотрудник 264,Михайлов К.П.,Внедрение новых технологий,9,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,3
Сотрудник 265,Петров В.В.,Внедрение новых технологий,7,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки презентации результатов,3
Сотрудник 266,Михайлов П.В.,Автоматизация процессов,9,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 267,Козлов В.В.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с другими отделами,3
Сотрудник 268,Волков П.К.,Разработка документации,6,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,2
Сотрудник 269,Сидоров В.П.,Внедрение новых технологий,10,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с командой,3
Сотрудник 270,Смирнов В.С.,Миграция системы,7,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с командой,3
Сотрудник 271,Смирнов С.К.,Миграция системы,8,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 272,Васильев В.И.,Оптимизация процессов,7,"Аналитическое мышление, внимательность к рискам",9,Улучшить документацию процессов,3
Сотрудник 273,Петров В.И.,Разработка нового функционала,6,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с другими отделами,3
Сотрудник 274,Смирнов С.К.,Внедрение новых технологий,6,"Системное мышление, внимание к деталям, ответственность",10,Развивать навыки презентации результатов,3
Сотрудник 275,Иванов С.М.,Разработка нового функционала,10,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,3
Сотрудник 276,Петров С.П.,Миграция системы,9,"Организованность, внимательность, стрессоустойчивость",7,Усилить коммуникацию с другими отделами,3
Сотрудник 277,Петров К.С.,Оптимизация производительности,7,"Организованность, внимательность, стрессоустойчивость",5,Улучшить документацию процессов,2
Сотрудник 278,Сидоров В.С.,Улучшение безопасности,6,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки презентации результатов,3
Сотрудник 279,Иванов М.С.,Оптимизация производительности,7,"Системное мышление, внимание к деталям, ответственность",7,Улучшить документацию процессов,3
Сотрудник 280,Смирнов В.С.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",8,Улучшить документацию процессов,3
Сотрудник 281,Сидоров С.К.,Улучшение безопасности,10,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 282,Михайлов С.С.,Разработка документации,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с командой,2
Сотрудник 283,Петров И.В.,Оптимизация процессов,6,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 284,Петров В.М.,Оптимизация производительности,9,"Аналитическое мышление, внимательность к рискам",7,Развивать навыки презентации результатов,3
Сотрудник 285,Васильев В.М.,Автоматизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",8,Улучшить документацию процессов,3
Сотрудник 286,Иванов И.В.,Улучшение безопасности,7,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки менторства,3
Сотрудник 287,Смирнов К.И.,Миграция системы,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с другими отделами,3
Сотрудник 288,Сидоров С.В.,Автоматизация процессов,9,"Аналитическое мышление, внимательность к рискам",7,Усилить коммуникацию с командой,3
Сотрудник 289,Петров М.И.,Миграция системы,9,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 290,Иванов В.В.,Миграция системы,9,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки менторства,3
Сотрудник 291,Иванов В.В.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с командой,3
Сотрудник 292,Петров М.С.,Оптимизация процессов,6,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки менторства,3
Сотрудник 293,Сидоров С.П.,Оптимизация производительности,10,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки менторства,3
Сотрудник 294,Сидоров В.К.,Разработка документации,9,"Аналитическое мышление, внимательность к рискам",8,Улучшить документацию процессов,3
Сотрудник 295,Козлов В.С.,Улучшение безопасности,7,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки менторства,2
Сотрудник 296,Михайлов К.П.,Разработка нового функционала,7,"Техническая экспертиза, креативность, самостоятельность",8,Развивать навыки менторства,3
Сотрудник 297,Козлов С.П.,Автоматизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 298,Волков К.П.,Внедрение новых технологий,10,"Организованность, внимательность, стрессоустойчивость",9,Улучшить документацию процессов,3
Сотрудник 299,Волков В.В.,Миграция системы,7,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки презентации результатов,3
Сотрудник 300,Сидоров К.В.,Оптимизация производительности,9,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки менторства,3
Сотрудник 301,Васильев С.П.,Улучшение безопасности,6,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки менторства,3
Сотрудник 302,Петров С.П.,Разработка документации,8,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с другими отделами,3
Сотрудник 303,Васильев П.М.,Миграция системы,6,"Системное мышление, внимание к деталям, ответственность",10,Усилить коммуникацию с командой,3
Сотрудник 304,Васильев В.И.,Оптимизация производительности,8,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки менторства,3
Сотрудник 305,Сидоров С.И.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Улучшить документацию процессов,3
Сотрудник 306,Смирнов К.В.,Оптимизация процессов,8,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с другими отделами,3
Сотрудник 307,Смирнов И.П.,Миграция системы,10,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки презентации результатов,3
Сотрудник 308,Волков В.С.,Автоматизация процессов,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Усилить коммуникацию с командой,3
Сотрудник 309,Иванов М.И.,Улучшение безопасности,7,"Организованность, внимательность, стрессоустойчивость",7,Усилить коммуникацию с другими отделами,3
Сотрудник 310,Волков М.П.,Автоматизация процессов,7,"Техническая экспертиза, креативность, самостоятельность",10,Развивать навыки презентации результатов,3
Сотрудник 311,Козлов И.П.,Оптимизация процессов,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Улучшить документацию процессов,2
Сотрудник 312,Михайлов С.С.,Миграция системы,6,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с другими отделами,2
Сотрудник 313,Иванов И.В.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с другими отделами,3
Сотрудник 314,Петров В.К.,Разработка нового функционала,7,"Аналитическое мышление, внимательность к рискам",9,Усилить коммуникацию с командой,3
Сотрудник 315,Петров С.М.,Автоматизация процессов,6,"Организованность, внимательность, стрессоустойчивость",6,Развивать навыки презентации результатов,2
Сотрудник 316,Иванов К.В.,Внедрение новых технологий,10,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,3
Сотрудник 317,Васильев И.С.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с другими отделами,3
Сотрудник 318,Васильев С.С.,Разработка документации,5,"Аналитическое мышление, внимательность к рискам",9,Усилить коммуникацию с командой,3
Сотрудник 319,Петров И.С.,Внедрение новых технологий,6,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с командой,2
Сотрудник 320,Козлов В.И.,Внедрение новых технологий,9,"Организованность, внимательность, стрессоустойчивость",7,Улучшить документацию процессов,3
Сотрудник 321,Смирнов К.И.,Разработка документации,9,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,3
Сотрудник 322,Петров С.П.,Внедрение новых технологий,8,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки презентации результатов,3
Сотрудник 323,Сидоров В.И.,Разработка нового функционала,10,"Организованность, внимательность, стрессоустойчивость",6,Развивать навыки менторства,3
Сотрудник 324,Сидоров И.С.,Оптимизация производительности,6,"Системное мышление, внимание к деталям, ответственность",8,Усилить коммуникацию с другими отделами,3
Сотрудник 325,Петров В.И.,Оптимизация производительности,7,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки презентации результатов,3
Сотрудник 326,Васильев В.К.,Улучшение безопасности,7,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с командой,2
Сотрудник 327,Сидоров П.П.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",9,Усилить коммуникацию с командой,3
Сотрудник 328,Петров П.М.,Разработка документации,9,"Техническая экспертиза, креативность, самостоятельность",10,Развивать навыки менторства,3
Сотрудник 329,Волков М.М.,Разработка нового функционала,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с командой,3
Сотрудник 330,Иванов С.В.,Оптимизация процессов,10,"Аналитическое мышление, внимательность к рискам",5,Развивать навыки менторства,3
Сотрудник 331,Смирнов С.К.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",7,Развивать навыки менторства,3
Сотрудник 332,Смирнов В.В.,Оптимизация процессов,6,"Системное мышление, внимание к деталям, ответственность",10,Усилить коммуникацию с другими отделами,3
Сотрудник 333,Волков В.И.,Разработка документации,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Усилить коммуникацию с другими отделами,3
Сотрудник 334,Козлов М.С.,Разработка нового функционала,6,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с другими отделами,2
Сотрудник 335,Васильев С.В.,Миграция системы,10,"Организованность, внимательность, стрессоустойчивость",8,Развивать навыки презентации результатов,3
Сотрудник 336,Козлов К.П.,Оптимизация производительности,9,"Организованность, внимательность, стрессоустойчивость",6,Развивать навыки презентации результатов,3
Сотрудник 337,Волков В.П.,Разработка нового функционала,5,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с другими отделами,2
Сотрудник 338,Волков К.К.,Разработка нового функционала,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки менторства,3
Сотрудник 339,Сидоров М.С.,Автоматизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Усилить коммуникацию с командой,3
Сотрудник 340,Петров В.В.,Внедрение новых технологий,5,"Аналитическое мышление, внимательность к рискам",6,Улучшить документацию процессов,2
Сотрудник 341,Васильев С.И.,Автоматизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 342,Козлов С.С.,Улучшение безопасности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 343,Волков С.В.,Разработка документации,9,"Техническая экспертиза, креативность, самостоятельность",8,Развивать навыки менторства,3
Сотрудник 344,Козлов П.С.,Внедрение новых технологий,5,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 345,Васильев В.В.,Внедрение новых технологий,7,"Техническая экспертиза, креативность, самостоятельность",10,Развивать навыки презентации результатов,3
Сотрудник 346,Михайлов С.П.,Миграция системы,6,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 347,Васильев П.С.,Разработка нового функционала,7,"Организованность, внимательность, стрессоустойчивость",5,Улучшить документацию процессов,2
Сотрудник 348,Смирнов В.И.,Оптимизация производительности,5,"Техническая экспертиза, креативность, самостоятельность",9,Улучшить документацию процессов,3
Сотрудник 349,Козлов В.С.,Улучшение безопасности,6,"Техническая экспертиза, креативность, самостоятельность",8,Улучшить документацию процессов,3
Сотрудник 350,Михайлов С.С.,Разработка нового функционала,6,"Аналитическое мышление, внимательность к рискам",10,Улучшить документацию процессов,3
Сотрудник 351,Васильев С.С.,Миграция системы,10,"Организованность, внимательность, стрессоустойчивость",6,Улучшить документацию процессов,3
Сотрудник 352,Смирнов С.И.,Автоматизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",6,Улучшить документацию процессов,3
Сотрудник 353,Смирнов С.П.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",10,Развивать навыки презентации результатов,3
Сотрудник 354,Козлов С.С.,Миграция системы,8,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с командой,3
Сотрудник 355,Иванов В.К.,Миграция системы,5,"Техническая экспертиза, креативность, самостоятельность",7,Усилить коммуникацию с другими отделами,2
Сотрудник 356,Волков К.И.,Разработка документации,9,"Организованность, внимательность, стрессоустойчивость",8,Усилить коммуникацию с другими отделами,3
Сотрудник 357,Васильев М.С.,Оптимизация производительности,6,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,2
Сотрудник 358,Петров В.К.,Миграция системы,6,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с командой,3
Сотрудник 359,Смирнов С.К.,Улучшение безопасности,9,"Системное мышление, внимание к деталям, ответственность",9,Улучшить документацию процессов,3
Сотрудник 360,Смирнов С.П.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Усилить коммуникацию с другими отделами,3
Сотрудник 361,Петров М.В.,Разработка нового функционала,10,"Аналитическое мышление, внимательность к рискам",5,Развивать навыки презентации результатов,3
Сотрудник 362,Иванов К.С.,Автоматизация процессов,5,"Системное мышление, внимание к деталям, ответственность",5,Развивать навыки презентации результатов,2
Сотрудник 363,Смирнов С.К.,Оптимизация производительности,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 364,Волков И.В.,Внедрение новых технологий,9,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с другими отделами,3
Сотрудник 365,Васильев С.С.,Внедрение новых технологий,6,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки менторства,3
Сотрудник 366,Волков И.С.,Разработка нового функционала,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки презентации результатов,3
Сотрудник 367,Васильев И.И.,Оптимизация процессов,5,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,2
Сотрудник 368,Михайлов С.С.,Автоматизация процессов,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки презентации результатов,3
Сотрудник 369,Петров М.С.,Разработка документации,10,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки презентации результатов,3
Сотрудник 370,Сидоров В.В.,Внедрение новых технологий,7,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,2
Сотрудник 371,Козлов С.В.,Улучшение безопасности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с командой,3
Сотрудник 372,Смирнов С.К.,Внедрение новых технологий,7,"Системное мышление, внимание к деталям, ответственность",7,Улучшить документацию процессов,3
Сотрудник 373,Васильев В.П.,Улучшение безопасности,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 374,Михайлов В.К.,Миграция системы,10,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с другими отделами,3
Сотрудник 375,Петров П.М.,Разработка нового функционала,7,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки менторства,3
Сотрудник 376,Сидоров В.И.,Миграция системы,5,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки менторства,3
Сотрудник 377,Васильев В.К.,Улучшение безопасности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с командой,2
Сотрудник 378,Козлов К.К.,Разработка документации,5,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки менторства,2
Сотрудник 379,Козлов П.В.,Миграция системы,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Улучшить документацию процессов,3
Сотрудник 380,Петров П.И.,Миграция системы,8,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки менторства,3
Сотрудник 381,Волков К.М.,Автоматизация процессов,6,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки презентации результатов,3
Сотрудник 382,Иванов К.М.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",9,Усилить коммуникацию с другими отделами,3
Сотрудник 383,Волков В.В.,Разработка нового функционала,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки менторства,3
Сотрудник 384,Волков В.М.,Улучшение безопасности,9,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 385,Васильев С.В.,Внедрение новых технологий,10,"Организованность, внимательность, стрессоустойчивость",10,Усилить коммуникацию с другими отделами,3
Сотрудник 386,Волков В.М.,Улучшение безопасности,7,"Организованность, внимательность, стрессоустойчивость",8,Усилить коммуникацию с командой,3
Сотрудник 387,Козлов В.И.,Оптимизация производительности,10,"Аналитическое мышление, внимательность к рискам",8,Развивать навыки презентации результатов,3
Сотрудник 388,Васильев С.С.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с командой,3
Сотрудник 389,Козлов В.П.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",5,Развивать навыки менторства,3
Сотрудник 390,Иванов В.С.,Разработка нового функционала,5,"Организованность, внимательность, стрессоустойчивость",8,Развивать навыки презентации результатов,3
Сотрудник 391,Волков И.В.,Разработка документации,6,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 392,Михайлов И.В.,Разработка документации,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Улучшить документацию процессов,3
Сотрудник 393,Петров К.В.,Внедрение новых технологий,10,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки презентации результатов,3
Сотрудник 394,Михайлов И.В.,Миграция системы,9,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 395,Сидоров М.С.,Внедрение новых технологий,10,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с другими отделами,3
Сотрудник 396,Сидоров С.В.,Улучшение безопасности,9,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 397,Смирнов С.П.,Оптимизация производительности,7,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с командой,3
Сотрудник 398,Иванов М.В.,Автоматизация процессов,9,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,3
Сотрудник 399,Иванов В.В.,Автоматизация процессов,7,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 400,Волков П.П.,Миграция системы,8,"Аналитическое мышление, внимательность к рискам",6,Усилить коммуникацию с командой,3
